# ra_deg|dec_deg|mag|type|designation|proper_name
100.0199|-27.3982|0.00|rn|VdB 84|
167.5800|-60.2483|0.00|oc|Cr 240|
66.7500|16.0000|0.50|oc|C 41|Hyades
83.9000|-1.0833|0.60|oc|Cr 70|Orion Belt Cluster
120.7042|-46.3833|0.60|oc|Cr 173|
161.2800|-59.8670|1.00|en|NGC 3372|η Car Nebula
121.1537|-31.5122|1.00|oc|LDN 1670|
246.5000|-26.2167|1.00|oc|Cr 302|Antares Cluster
201.1735|-64.0222|1.05|bn|Ced 122|
56.7450|24.1170|1.20|oc|M 45|Pleiades
51.0750|48.1670|1.20|oc|Cr 39|α Persei Cluster
81.2915|6.3574|1.70|bn|Ced 45|
263.3981|-37.1056|1.71|bn|Ced 145|
186.2700|26.1170|1.80|oc|Cr 256|Coma Star Cluster
160.7250|-64.4000|1.90|oc|IC 2602|Southern Pleiades
86.3003|2.0422|1.91|bn|Ced 55r|
315.5127|48.2161|2.00|oc|LDN 962|
60.6000|1.3000|2.00|oc|LDN 1569|
109.3250|-36.8333|2.10|oc|Cr 135|π Pup Cluster
122.3958|-47.3452|2.22|bn|Ced 104|
302.2136|39.7932|2.32|bn|Ced 176a|
318.2147|40.3787|2.32|bn|Ced 176b|
111.0143|-29.2952|2.43|bn|Ced 98|
130.1330|-53.0330|2.50|oc|IC 2391|ο Vel Cluster
83.8500|-5.9150|2.50|oc|NGC 1980|The Lost Jewel of Orion
240.0791|-22.6173|2.54|bn|Ced 125e|
253.5450|-41.8170|2.60|oc|NGC 6231|False Comet Nebula
103.5500|-24.6333|2.60|oc|Cr 121|
116.3250|-37.9670|2.80|oc|NGC 2451|Stinging Scorpion Cluster
83.8700|9.9411|2.80|oc|Cr 69|Orion Cluster
56.8712|24.1051|2.87|rn|VdB 23|
245.3000|-25.6000|2.89|bn|VdB 104|
239.7130|-26.1141|2.89|rn|VdB 99|
166.4130|-58.7530|3.00|oc|NGC 3532|Wishing Well Cluster
270.2750|2.9000|3.00|oc|Cr 359|
290.1833|11.4819|3.00|oc|LDN 767|
301.4460|23.4380|3.00|oc|LDN 797|
90.0223|32.1091|3.00|pn|LDN 1550|
77.7000|10.5700|3.00|oc|LDN 1571|
80.2000|8.5000|3.00|oc|B 223|
68.7617|-14.2325|3.00|oc|LDN 1642|
81.2708|15.6997|3.00|oc|Cr 65|
130.0050|19.6670|3.10|oc|NGC 2632|Praesepe
302.8261|-0.8215|3.24|rn|VdB 129|
268.4700|-34.8000|3.30|oc|NGC 6475|Ptolemy's Cluster
111.1200|-31.8500|3.50|oc|Cr 140|
291.5550|20.1000|3.60|oc|Cr 399|Coathanger
108.6000|-31.1667|3.60|oc|Cr 132|
345.4803|42.3260|3.62|rn|VdB 156|
56.2189|24.1133|3.71|rn|VdB 20|
34.7500|57.1280|3.80|oc|NGC 869|h Persei
35.1300|57.1300|3.80|oc|NGC 884|χ Persei
119.5200|-60.7500|3.80|oc|NGC 2516|Diamond Cluster
57.2867|24.0570|3.80|bn|Ced 19o|
234.6867|-29.7780|3.80|bn|Ced 124|
296.8469|18.5343|3.82|rn|VdB 127|
56.5000|24.2000|3.88|bn|NGC 1432|Maia Nebula
201.7050|-47.4830|3.90|gc|NGC 5139|ω Cen Cluster
96.8130|-4.7580|3.90|oc|NGC 2232|Double Wedge Cluster
100.2420|9.8950|3.90|oc|NGC 2264|Fox Fur Nebula
56.0682|32.2838|3.94|bn|Ced 18b|
6.0300|-72.0800|4.00|gc|NGC 104|47 Tuc
83.8221|-5.3911|4.00|bn|NGC 1976|Orion Nebula
314.6960|44.3300|4.00|bn|NGC 7000|North America Nebula
301.9370|37.0980|4.00|oc|LDN 863|
323.4830|54.6920|4.00|oc|B 157|
323.3458|56.7431|4.00|oc|LDN 1085|
359.3700|70.9500|4.00|oc|LDN 1274|
174.2167|-63.0733|4.00|oc|Cr 249|
243.2000|-19.3000|4.03|rn|IC 4592|Blue Horsehead Nebula
239.2196|-29.2081|4.05|bn|Ced 126|
130.1548|-46.6560|4.06|bn|Ced 106j|
131.4983|-46.0326|4.09|bn|Ced 106o|
109.6800|-24.9500|4.10|oc|NGC 2362|τ CMa Cluster
115.9539|-28.9560|4.10|bn|Ced 102|
129.5795|-43.0682|4.13|bn|Ced 106i|
56.5000|23.9000|4.18|rn|NGC 1435|Merope Nebula
265.0800|-32.2500|4.20|oc|NGC 6405|Butterfly Cluster
83.7870|-4.4320|4.20|oc|NGC 1981|Coal Car Cluster
150.6500|-60.1200|4.20|oc|NGC 3114|Hand Cluster
