# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
0.2691|-48.8099|5.71|0.911|τ||Phe
0.3338|-50.3374|5.53|1.615|||
0.3988|-77.0657|4.78|1.254|θ||Oct
0.4042|61.2228|5.58|0.407|||
0.4560|-3.0275|5.13|-0.128|||Psc
0.4901|-6.0141|4.37|1.631|||Psc
0.5423|27.0823|5.80|0.690|||Peg
0.5830|-29.7204|5.04|-0.150|ζ||Scl
0.6238|8.4855|5.70|0.315|c||Psc
0.6504|66.0990|5.87|1.073|||
0.9350|-17.3360|4.55|-0.047|||Cet
1.0569|62.2877|5.90|0.274|||Cas
1.0825|-16.5290|5.78|1.084|||
1.1255|-10.5095|4.99|1.619|||Cet
1.1721|-71.4369|5.59|-0.100|||
1.1749|67.1664|5.68|1.051|||
1.2756|61.3140|5.80|-0.067|V0567||Cas
1.3339|-5.7076|4.61|1.029|||Psc
1.4248|13.3963|5.55|0.901|||Peg
1.5659|58.4367|5.98|0.687|V0640||Cas
1.5799|-49.0752|5.70|0.519|GJ4.2A||
1.6106|64.1962|5.57|-0.023|||Cas
1.9454|-22.5086|5.93|0.141|||
2.0145|-33.5293|5.67|1.119|||
2.0731|-8.8241|5.99|1.034|||
2.0969|29.0904|2.07|-0.038|α|Alpheratz|And
2.2601|18.2120|5.57|1.043|||Peg
2.2945|59.1498|2.28|0.380|β|Caph|Cas
2.3378|-27.9879|5.42|0.414|κ1||Scl
2.3527|-45.7474|3.88|1.013|ε||Phe
2.5092|11.1458|5.54|-0.064|||Psc
2.5091|-82.2240|5.29|1.049|γ3||Oct
2.5786|-5.2486|5.84|0.973|||
2.5802|46.0723|5.01|0.405|||And
2.6785|-12.5799|5.84|1.000|||
2.8161|-15.4680|4.89|0.487|||Cet
2.8934|-27.7997|5.41|1.346|κ2||Scl
2.9334|-35.1331|5.24|0.459|θ||Scl
3.0416|-17.9383|5.29|1.478|||
3.3090|15.1836|2.83|-0.190|γ|Algenib|Peg
3.3318|-84.9940|5.78|1.710|||
3.3785|41.0354|5.71|0.331|||And
3.4260|-26.0223|5.94|1.548|||
3.6151|-7.7805|5.13|1.601|AD||Cet
3.6507|20.2067|4.79|1.572|χ||Peg
3.6601|-18.9329|4.44|1.640|||Cet
3.7271|-9.5696|5.77|-0.084|||
4.0369|-31.4464|5.66|1.350|||
4.2377|61.5332|5.74|0.898|||
4.2729|38.6816|4.61|0.059|θ||And
4.2877|47.9474|5.86|-0.079|||
4.5819|36.7852|4.51|0.054|σ||And
4.6594|31.5172|5.88|-0.014|||
4.8570|-8.8239|3.56|1.214|ι|Deneb Kaitos Shemali|Cet
5.0178|-64.8748|4.23|0.576|ζ||Tuc
5.1017|30.9356|5.89|-0.098|||
5.1494|8.1903|5.38|1.343|d||Psc
5.1627|-69.6249|5.50|-0.046|π||Tuc
5.1897|32.9112|5.79|1.595|||
5.2803|37.9686|5.16|0.442|ρ||And
5.3699|-77.4269|5.96|1.397|||
